permit,funder,installer,basin,region,lga,ward,scheme_management,extraction_type,management,payment,quantity,source,waterpoint_type,status_group,district_code,population,construction_year,recorded_year,amount_tsh,gps_height,latitude,longitude
0.0,12,15,1,3,18,16,7,3,7,2,1,8,1,0,5,109,1999,2011,6000.0,1390.0,-9.85632177,34.93809275
1.0,12,15,4,9,18,16,2,3,11,0,2,5,1,0,2,280,2010,2013,36.123670736510434,1399.0,-2.14746569,34.6987661
1.0,12,20,5,8,18,16,7,3,7,4,1,0,2,0,4,250,2009,2013,25.0,686.0,-3.82132853,37.46066446
1.0,17,15,7,12,18,16,7,14,7,0,0,3,2,2,63,58,1986,2013,93.65438526231478,263.0,-11.15529772,38.48616088
1.0,12,6,5,20,18,16,7,14,7,4,1,4,2,0,8,1,2009,2011,20.0,1102.2577417818009,-4.76558728,39.1727956
0.0,12,15,8,14,18,16,4,14,4,0,1,3,6,0,43,345,2011,2011,599.7519132653061,62.0,-7.03413939,39.20951812
0.0,0,5,1,16,18,12,9,15,11,5,2,7,4,0,5,250,1987,2013,200.0,1062.0,-10.57417468,35.77025785
1.0,12,15,5,6,18,16,10,3,9,3,1,8,1,0,7,1,2009,2013,389.33232501861505,1368.0,-3.1817833,37.09257412
0.0,12,6,3,15,18,16,7,15,7,0,1,3,4,0,2,200,1991,2011,232.54747344705504,1645.0,-8.27496163,31.44412134
1.0,17,6,6,3,17,10,8,3,10,3,0,6,1,2,4,35,1978,2011,500.0,1703.0,-9.10618458,34.64243884
1.0,17,6,6,3,17,18,8,3,10,5,0,6,1,2,4,50,1978,2011,319.9494131930393,1656.0,-9.08551497,34.56926611
1.0,7,6,4,13,18,16,12,9,7,0,2,8,6,1,1,1000,1999,2011,13.286004056795132,1162.0,-1.94786801,32.92015381
1.0,0,15,1,3,18,16,7,3,7,2,1,8,1,0,5,1,1992,2011,500.0,1763.0,-9.8944125,34.50896732
0.0,12,15,1,3,17,9,7,3,7,3,1,8,1,0,4,4,2008,2011,200.0,2216.0,-9.59498965,34.47342985
1.0,17,6,6,3,17,18,8,3,10,0,1,6,1,1,4,350,1978,2011,329.1762013729977,1510.0,-8.98001429,34.58690108
1.0,12,15,5,6,20,16,11,3,7,3,1,6,1,0,3,210,2011,2013,500.0,672.0,-4.12559468,37.94002949
1.0,12,6,3,5,7,16,7,3,7,6,1,8,5,0,3,156,2009,2013,232.54747344705504,1645.0,-4.49556758,29.74706567
1.0,6,6,5,6,16,16,7,3,7,6,1,8,1,1,4,140,1974,2013,300.9182389937107,1273.0,-3.31753648,37.42275132
0.0,12,15,7,7,18,16,7,4,7,3,1,3,4,0,23,260,2011,2013,500.0,200.0,-9.94253166,39.37077651
1.0,6,8,5,6,18,16,0,3,0,3,2,8,1,2,1,1,2000,2013,136.64716920090586,1443.0,-3.2635263,37.61112572
1.0,12,15,5,6,18,17,10,3,9,3,1,8,1,0,7,1,2002,2013,389.33232501861505,1256.0,-3.19198926,37.06168837
1.0,13,15,8,14,1,0,8,6,4,4,1,6,1,0,1,150,2004,2011,50.0,180.0,-6.63610419,38.36355454
1.0,6,6,5,6,16,16,2,3,1,0,2,6,6,1,4,180,1972,2013,300.9182389937107,1481.0,-3.29062725,37.49233371
0.0,12,6,1,3,18,16,7,3,7,5,3,8,1,0,5,70,1992,2011,720.3971119133574,1638.0,-9.71590954,34.47835586
1.0,12,15,5,0,0,16,12,9,7,0,3,5,6,2,2,200,2000,2013,136.64716920090586,1546.0,-3.29300336,36.61869946
1.0,12,15,6,3,18,16,7,3,7,2,1,6,1,0,7,100,2003,2011,4000.0,1955.0,-8.22439872,35.89026429
0.0,6,6,3,5,6,16,7,8,7,6,3,7,4,2,1,230,2002,2013,131.5040650406504,1348.0,-3.89456056,30.6133054
1.0,12,6,5,6,16,16,10,14,9,4,1,3,1,0,4,50,2008,2013,25.0,710.0,-3.47684942,37.42002692
0.0,6,2,1,3,18,16,7,3,7,5,1,8,1,0,3,58,1986,2011,500.0,2469.0,-9.20464923,33.92790176
1.0,12,15,6,3,17,13,9,3,11,3,1,8,1,0,4,250,2011,2011,500.0,1803.0,-9.03250291,34.81457364
2.0,21,21,0,18,21,16,7,7,7,6,0,3,1,2,2,1,1980,2013,41.90284049526584,1642.0,-4.62892053,34.96778863
1.0,6,6,5,0,0,14,7,3,7,4,2,8,1,1,2,100,2000,2013,20.0,1007.0,-3.47855934,36.80607857
1.0,12,14,7,12,18,16,7,3,7,4,1,8,1,1,33,30,2004,2013,20.0,240.0,-11.00060373,39.08741514
1.0,12,15,6,3,18,16,7,3,7,2,1,8,1,0,7,70,2003,2011,4000.0,1982.0,-8.22756303,35.87141325
1.0,2,6,6,3,17,16,7,3,7,2,1,8,1,0,4,20,2007,2011,1500.0,2169.0,-9.18987766,34.44128349
1.0,12,15,5,6,18,16,11,3,8,4,2,8,1,0,6,10,2008,2013,20.0,783.0,-3.34929238,37.37285829
1.0,12,6,2,15,18,16,7,3,7,0,0,6,1,2,2,200,1973,2011,215.3420608108108,1545.0,-8.57166114,32.04683486
1.0,12,15,5,6,18,16,11,3,8,4,2,8,2,2,6,1,2008,2013,20.0,766.0,-3.35653763,37.34816881
1.0,12,6,5,6,16,16,10,3,9,4,1,8,1,0,4,45,2008,2013,6.0,962.0,-3.36819761,37.47943592
1.0,12,15,5,0,0,16,7,3,7,0,1,8,1,2,2,150,2009,2013,136.64716920090586,1583.0,-3.33981163,36.72112734
1.0,8,13,0,8,18,16,9,8,11,0,1,7,4,0,3,456,2000,2013,335.9761267291388,1703.0,-3.80687858,35.56134607
0.0,12,6,5,20,18,16,7,3,7,0,3,8,1,0,3,200,1999,2011,389.33232501861505,190.0,-5.11324963,38.78943655
1.0,6,6,5,20,18,16,7,9,7,0,1,7,6,2,1,1,1992,2011,136.64716920090586,1670.0,-4.6472894999999985,38.37667127
1.0,11,16,3,5,7,16,7,3,7,3,1,6,2,1,3,567,1985,2013,500.0,954.0,-4.77975837,29.66972029
1.0,12,15,5,0,15,16,7,3,7,6,2,6,1,2,7,130,2002,2013,136.64716920090586,1365.0,-3.35002587,36.94745079
1.0,12,15,0,18,18,16,9,0,11,0,1,3,4,0,1,225,2004,2013,335.9761267291388,1538.0,-4.30776106,34.76272634
2.0,21,21,0,18,21,16,7,7,7,6,0,3,1,2,2,1,1970,2013,41.90284049526584,1415.0,-5.17313618,34.62159801
1.0,12,15,6,3,17,16,4,12,4,0,1,1,4,0,4,50,2010,2011,958.3099842146803,1788.0,-9.2035221,34.89725735
1.0,17,6,6,3,17,16,8,3,10,5,0,6,1,2,4,54,1978,2011,319.9494131930393,1366.0,-8.88959406,34.55789311
0.0,6,6,3,5,7,16,11,9,4,0,0,5,1,2,2,1,2004,2013,131.5040650406504,1694.0,-4.47180947,29.76800862
1.0,6,16,6,11,8,16,12,15,7,3,2,7,4,2,3,280,1995,2011,200.0,303.0,-8.93495018,35.81898147
1.0,7,11,4,9,18,16,2,8,11,1,2,7,4,2,2,200,1991,2013,29.459980713596913,1565.0,-1.88801974,34.657034499999995
0.0,3,6,3,5,5,16,11,8,7,5,1,7,4,0,2,1,2009,2013,500.0,1153.0,-4.27996794,30.41995839
1.0,12,15,6,3,17,3,8,3,10,3,1,8,1,0,4,75,2008,2011,500.0,2049.0,-9.3264772,34.68047144
1.0,6,16,5,0,15,16,7,3,7,6,2,8,1,0,7,140,1974,2013,389.33232501861505,905.0,-3.55703413,36.93165941
0.0,6,6,5,20,18,16,7,3,7,0,0,6,1,2,2,900,1992,2011,136.64716920090586,406.0,-4.8348356,38.58082367
0.0,12,2,1,3,18,16,7,3,7,0,1,8,1,0,3,58,2002,2011,720.3971119133574,2328.0,-9.27156548,34.28447604
1.0,12,15,8,11,18,16,7,3,7,0,1,6,1,1,2,100,2004,2011,146.56133828996283,427.0,-7.02426273,37.72295310000001
1.0,12,3,5,0,15,16,8,3,10,6,1,8,1,0,7,360,2011,2013,389.33232501861505,1331.0,-3.3747906000000003,36.75793224
0.0,12,15,4,9,18,16,3,3,3,6,1,5,4,2,3,544,2002,2012,29.459980713596913,1185.0,-1.60969058,34.19057512
1.0,12,6,6,3,18,16,7,15,7,3,1,3,4,0,1,441,2000,2011,500.0,1701.0,-7.91231657,35.73447433
1.0,13,15,8,14,1,0,8,6,4,4,1,6,1,2,1,20,2008,2011,50.0,159.0,-6.63869562,38.35356668
1.0,12,15,3,5,7,16,9,3,7,3,1,6,1,1,3,120,2006,2013,200.0,1002.0,-4.7268496,29.67098869
1.0,12,15,7,7,18,16,7,5,7,0,1,3,4,2,53,280,2006,2013,93.65438526231478,212.0,-10.47656619,38.96294513
1.0,0,15,8,14,1,16,0,6,7,3,1,6,1,2,1,40,1987,2011,200.0,18.0,-6.55790327,38.89040167
1.0,12,15,0,8,18,16,7,3,7,0,2,8,1,0,2,221,2008,2013,335.9761267291388,1560.0,-4.44803987,35.51217404
1.0,0,5,3,5,5,16,11,3,7,3,1,0,2,0,2,950,2007,2013,250.0,1471.0,-4.34106206,30.21673046
0.0,6,10,3,5,5,16,11,6,7,1,1,3,2,2,2,1430,1978,2013,500.0,1274.0,-4.23637808,30.12668109
