permit,funder,installer,basin,region,lga,ward,scheme_management,extraction_type,management,payment,quantity,source,waterpoint_type,status_group,district_code,population,construction_year,recorded_year,amount_tsh,gps_height,latitude,longitude
0.0,12,15,1,3,18,16,7,3,7,2,1,8,1,0,5,109,1999,2011,6000.0,1390.0,-9.85632177,34.93809275
1.0,12,20,5,8,18,16,7,3,7,4,1,0,2,0,4,250,2009,2013,25.0,686.0,-3.82132853,37.46066446
1.0,12,6,5,20,18,16,7,14,7,4,1,4,2,0,8,1,2009,2011,20.0,1102.2577417818009,-4.76558728,39.1727956
0.0,0,5,1,16,18,12,9,15,11,5,2,7,4,0,5,250,1987,2013,200.0,1062.0,-10.57417468,35.77025785
1.0,17,6,6,3,17,10,8,3,10,3,0,6,1,2,4,35,1978,2011,500.0,1703.0,-9.10618458,34.64243884
1.0,0,15,1,3,18,16,7,3,7,2,1,8,1,0,5,1,1992,2011,500.0,1763.0,-9.8944125,34.50896732
0.0,12,15,1,3,17,9,7,3,7,3,1,8,1,0,4,4,2008,2011,200.0,2216.0,-9.59498965,34.47342985
1.0,12,15,5,6,20,16,11,3,7,3,1,6,1,0,3,210,2011,2013,500.0,672.0,-4.12559468,37.94002949
0.0,12,15,7,7,18,16,7,4,7,3,1,3,4,0,23,260,2011,2013,500.0,200.0,-9.94253166,39.37077651
1.0,13,15,8,14,1,0,8,6,4,4,1,6,1,0,1,150,2004,2011,50.0,180.0,-6.63610419,38.36355454
1.0,12,15,6,3,18,16,7,3,7,2,1,6,1,0,7,100,2003,2011,4000.0,1955.0,-8.22439872,35.89026429
1.0,12,6,5,6,16,16,10,14,9,4,1,3,1,0,4,50,2008,2013,25.0,710.0,-3.47684942,37.42002692
1.0,12,15,6,3,17,13,9,3,11,3,1,8,1,0,4,250,2011,2011,500.0,1803.0,-9.03250291,34.81457364
1.0,6,6,5,0,0,14,7,3,7,4,2,8,1,1,2,100,2000,2013,20.0,1007.0,-3.47855934,36.80607857
1.0,12,14,7,12,18,16,7,3,7,4,1,8,1,1,33,30,2004,2013,20.0,240.0,-11.00060373,39.08741514
1.0,12,15,6,3,18,16,7,3,7,2,1,8,1,0,7,70,2003,2011,4000.0,1982.0,-8.22756303,35.87141325
1.0,2,6,6,3,17,16,7,3,7,2,1,8,1,0,4,20,2007,2011,1500.0,2169.0,-9.18987766,34.44128349
1.0,12,15,5,6,18,16,11,3,8,4,2,8,1,0,6,10,2008,2013,20.0,783.0,-3.34929238,37.37285829
1.0,12,15,5,6,18,16,11,3,8,4,2,8,2,2,6,1,2008,2013,20.0,766.0,-3.35653763,37.34816881
1.0,12,6,5,6,16,16,10,3,9,4,1,8,1,0,4,45,2008,2013,6.0,962.0,-3.36819761,37.47943592
1.0,11,16,3,5,7,16,7,3,7,3,1,6,2,1,3,567,1985,2013,500.0,954.0,-4.77975837,29.66972029
1.0,6,16,6,11,8,16,12,15,7,3,2,7,4,2,3,280,1995,2011,200.0,303.0,-8.93495018,35.81898147
0.0,3,6,3,5,5,16,11,8,7,5,1,7,4,0,2,1,2009,2013,500.0,1153.0,-4.27996794,30.41995839
1.0,12,15,6,3,17,3,8,3,10,3,1,8,1,0,4,75,2008,2011,500.0,2049.0,-9.3264772,34.68047144
1.0,12,6,6,3,18,16,7,15,7,3,1,3,4,0,1,441,2000,2011,500.0,1701.0,-7.91231657,35.73447433
1.0,13,15,8,14,1,0,8,6,4,4,1,6,1,2,1,20,2008,2011,50.0,159.0,-6.63869562,38.35356668
1.0,12,15,3,5,7,16,9,3,7,3,1,6,1,1,3,120,2006,2013,200.0,1002.0,-4.7268496,29.67098869
1.0,0,15,8,14,1,16,0,6,7,3,1,6,1,2,1,40,1987,2011,200.0,18.0,-6.55790327,38.89040167
1.0,0,5,3,5,5,16,11,3,7,3,1,0,2,0,2,950,2007,2013,250.0,1471.0,-4.34106206,30.21673046
0.0,6,10,3,5,5,16,11,6,7,1,1,3,2,2,2,1430,1978,2013,500.0,1274.0,-4.23637808,30.12668109
0.0,12,15,7,16,18,16,7,14,7,4,1,3,2,1,1,1,2011,2013,50.0,701.0,-11.31324316,36.95075936
1.0,5,0,5,6,18,16,10,3,9,4,1,8,1,0,5,75,1999,2013,10.0,1409.0,-3.21646394,37.17489041
1.0,2,15,5,6,18,16,7,3,7,3,1,8,1,0,2,320,2010,2013,1000.0,744.0,-3.56996907,37.61640658
1.0,12,15,6,3,18,16,7,3,7,4,0,8,1,2,1,1,2000,2011,50.0,1428.0,-7.71054858,35.63048144
1.0,15,15,5,8,18,16,7,14,7,4,2,3,2,2,5,1,2004,2013,50.0,1348.0,-5.5923447,37.02381013
2.0,21,21,0,18,21,16,7,7,7,4,2,3,1,0,2,50,2000,2013,50.0,1455.0,-5.18676616,34.71064345
1.0,12,15,6,3,17,3,8,3,10,3,1,8,1,0,4,305,2008,2011,500.0,2050.0,-9.31731152,34.64835709
0.0,12,15,7,7,18,16,7,8,7,4,2,7,4,2,2,1,2006,2013,30.0,11.0,-10.13363156,39.88898115
1.0,19,15,8,11,18,16,7,3,7,3,1,6,1,0,2,150,2004,2011,20.0,471.0,-6.771698700000001,37.82346185
0.0,12,15,6,3,17,16,7,12,7,5,1,1,4,0,4,40,2010,2011,2000.0,1603.0,-8.91132497,34.98887131
0.0,15,17,7,16,18,16,7,13,7,3,1,3,4,2,1,1,2009,2013,400.0,531.0,-10.91557638,37.41877342
0.0,8,15,6,3,17,16,7,8,7,5,1,1,4,0,4,250,2009,2011,1000.0,1562.0,-8.86866011,34.94546531
1.0,17,6,6,3,17,20,8,3,10,3,1,6,2,0,4,80,1978,2011,500.0,1445.0,-8.84136926,34.68050209
1.0,6,6,3,5,5,16,11,3,9,2,1,6,1,0,2,560,1977,2013,1200.0,1242.0,-4.52564753,30.26413388
1.0,12,14,7,12,18,16,7,3,7,4,3,8,1,0,33,36,2004,2013,20.0,262.0,-10.9753631,39.08229758
1.0,13,15,8,14,1,16,8,6,4,4,1,6,1,0,1,12,2010,2011,40.0,217.0,-6.45446888,38.33493265
1.0,1,16,6,11,8,16,12,15,7,3,2,7,4,0,3,450,1997,2011,500.0,253.0,-8.12006358,36.70397575
1.0,12,15,8,11,9,16,7,9,7,3,2,7,6,2,1,632,1997,2011,300.0,665.0,-6.64260892,36.70991445
1.0,6,6,3,15,18,16,7,3,7,5,1,6,1,0,2,50,1972,2011,500.0,1783.0,-8.17864388,31.52365762
1.0,0,4,6,3,18,16,7,3,7,3,1,8,1,0,1,1,1984,2011,1000.0,1592.0,-7.85014451,35.63419525
1.0,12,15,8,14,1,0,8,6,10,4,1,6,1,2,1,50,2010,2011,30.0,128.0,-6.60873088,38.34276796
1.0,12,15,6,3,17,10,8,3,10,3,1,6,1,0,4,25,1987,2011,25000.0,1768.0,-9.12973959,34.71600987
1.0,12,15,7,12,18,16,7,7,7,4,1,3,2,0,1,150,2011,2013,50.0,232.0,-10.60671713,39.77883219
1.0,6,10,5,6,20,16,11,3,7,2,2,8,1,0,3,500,1978,2013,1500.0,1567.0,-4.36699297,37.89233459
1.0,9,6,4,9,18,16,7,3,3,4,1,2,1,2,4,100,1978,2013,50.0,1135.0,-2.15235319,33.50998861
0.0,12,15,6,3,17,16,7,12,7,3,1,1,4,0,4,40,2010,2011,500.0,1768.0,-9.20451104,34.89930829
0.0,8,15,6,3,17,16,7,8,7,5,1,1,4,0,4,40,2009,2011,500.0,1593.0,-8.83707693,34.920323100000005
1.0,6,15,8,14,1,0,7,6,7,4,1,0,1,2,1,100,1982,2011,10.0,205.0,-6.63641192,38.23544422
1.0,12,15,0,0,18,16,7,3,7,4,1,6,1,0,30,200,2009,2013,10.0,1685.0,-3.25083059,35.88015611
1.0,12,15,5,6,20,16,11,3,9,3,2,8,1,1,3,450,2011,2013,1000.0,1055.0,-4.14888473,37.82287905
1.0,6,6,5,0,0,16,7,3,7,5,1,8,1,0,2,150,2000,2013,500.0,1897.0,-3.2526794,36.65057433
1.0,12,15,3,5,5,16,11,3,4,3,2,6,1,0,2,570,2005,2013,750.0,1071.0,-4.59970578,29.88356158
